timestamp,action,ticker,qty,price
2025-07-14T22:43:54.118616,buy,META,1.0,MARKET
2025-07-14T22:43:54.843249,buy,META,1.0,MARKET
2025-07-14T22:43:55.335271,sell,TSLA,1.0,MARKET
2025-07-14T22:43:56.479812,buy,NVDA,1.0,MARKET
2025-07-14T22:43:56.961035,buy,NVDA,1.0,MARKET
2025-07-14T22:43:57.451722,sell,TSLA,1.0,MARKET
2025-07-14T22:43:58.638390,buy,NVDA,1.0,MARKET
2025-07-14T22:43:59.089927,buy,NVDA,1.0,MARKET
2025-07-14T22:43:59.600550,sell,MSFT,1.0,MARKET
2025-07-14T22:44:00.792738,buy,NVDA,1.0,MARKET
2025-07-14T22:44:01.276746,buy,NVDA,1.0,MARKET
2025-07-14T22:44:01.760641,sell,AMZN,1.0,MARKET
